ticker,train_records,test_records,train_start,train_end,test_start,test_end,avg_price,volatility,beta
RELIANCE.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,695.7069095373583,0.015759229044155384,1.1110959575257664
HDFCBANK.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,1038.7486633344802,0.012637930212214337,0.9517697113958749
ICICIBANK.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,522.243800837685,0.017632255932355814,1.365940517731814
INFY.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,875.5479671287055,0.015513339686133285,0.7924271176153914
TCS.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,2174.62766052092,0.014265181857895522,0.6277045225494006
HINDUNILVR.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,1609.4435959330028,0.013051309688847244,0.5263401790378996
BHARTIARTL.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,563.4519054194112,0.017571614450092247,0.8427882267340603
SBIN.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,358.4195140641904,0.01910115752968828,1.4405894616896258
ITC.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,236.37037012132546,0.014440520180964008,0.7929436155025196
KOTAKBANK.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,1299.9281906309516,0.01531976020852794,0.9757877712184913
LT.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,1527.7437752944832,0.015906011907111297,1.1755593616732314
AXISBANK.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,665.3198964792686,0.018551459169692818,1.247548657644558
BAJFINANCE.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,358.48359962907716,0.020532222931452886,1.191895678012879
ASIANPAINT.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,1777.8174218371419,0.01494384092400389,0.731835376018854
HCLTECH.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,675.9511122155009,0.01601426706119967,0.6530109469868661
MARUTI.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,6771.162682572814,0.01585256972466419,0.94305039841007
SUNPHARMA.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,777.3758421662994,0.016957682172429787,0.712588130252262
TITAN.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,1429.0075234744336,0.01772918591317223,0.8921787668853471
TATAMOTORS.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,422.17893217618484,0.023447199896532062,1.5051675320150848
NTPC.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,133.65586675842704,0.016058400214761757,0.8433861488800506
ULTRACEMCO.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,5207.440721899088,0.016144764160534907,1.0342605001135292
ADANIENT.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,945.7835328005472,0.02956099864699512,1.7331303380061052
JSWSTEEL.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,391.61882880479476,0.02013823838880726,1.3257816439580186
BAJAJFINSV.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,838.1369948471405,0.018973409599253855,1.094370337773352
WIPRO.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,154.04335143580747,0.015052565673757092,0.7460467713715307
ONGC.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,128.5412189457505,0.019373901564017325,0.9770703765250471
NESTLEIND.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,627.4285229732102,0.013539903744401545,0.45914516237018177
ADANIPORTS.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,532.605265647979,0.022372520422929826,1.4014331704924716
POWERGRID.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,111.57569932438946,0.01499070277449681,0.6985735070399244
TATASTEEL.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,64.92492365811303,0.021656292135818357,1.4889289281741351
GRASIM.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,1140.8708644004407,0.016576367737516036,1.0364039463976817
COALINDIA.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,174.83227377010087,0.017758644317111452,0.905825097284564
HINDALCO.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,283.8348802455788,0.023457281151266652,1.552637859111191
DIVISLAB.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,2325.8164615184014,0.017891262152077557,0.7030826465361827
SBILIFE.NS,1851,44,2017-10-03,2025-03-28,2025-06-16,2025-08-14,1034.3855415562691,0.016050950611742987,0.6944480267184886
TECHM.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,756.6375775452431,0.017354944443799786,0.7816756622767299
DRREDDY.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,743.1640145721051,0.015624414668472688,0.4954997094885966
BAJAJ-AUTO.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,3322.197935140825,0.01487834681610908,0.7376248805655465
BRITANNIA.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,2725.146678320647,0.014396181363451468,0.5353594568476217
